Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water
Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water
Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Grass,Grass,Grass
Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Grass,Grass,Grass,Mountain
Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Grass,Grass,Grass,Grass,Mountain
Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Water,Water,Water,Water,Water,Water,Water,Grass,Grass,Grass,Grass,Grass,Mountain
Water,Water,Water,Water,Water,Water,Water,Water,Water,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Water,Grass,Grass,Grass,Water,Water,Water,Grass,Grass,Grass,Grass,Grass,Grass
Water,Water,Water,Water,Water,Water,Water,Water,Water,Grass,Grass,Mountain,Mountain,Grass,Grass,Grass,Grass,Water,Grass,Grass,Grass,Water,Water,Water,Grass,Grass,Grass,Grass,Grass,Grass
Water,Water,Water,Water,Water,Water,Water,Water,Water,Grass,Grass,Mountain,Mountain,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Water,Water,Water,Grass,Grass,Grass,Grass,Grass,Grass
Water,Mountain,Mountain,Mountain,Mountain,Mountain,Mountain,Water,Water,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Water,Water,Water,Water,Water,Water,Water,Water,Water
Water,Water,Mountain,Water,Mountain,Grass,Mountain,Water,Water,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Water,Water,Water,Water,Water,Water,Water,Water,Water
Mountain,Water,Mountain,Water,Mountain,Mountain,Water,Water,Water,Water,Water,Water,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Water,Water,Water,Water,Water,Water,Water,Water,Water
Mountain,Mountain,Mountain,Water,Mountain,Water,Mountain,Water,Water,Grass,Grass,Water,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Water,Water,Water,Grass,Grass,Grass,Grass,Grass,Grass
Water,Water,Water,Water,Water,Water,Water,Water,Water,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Water,Water,Water,Grass,Grass,Grass,Grass,Grass,Grass
Water,Water,Water,Water,Water,Water,Water,Water,Water,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Water,Water,Water,Grass,Grass,Grass,Grass,Grass,Grass
Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Grass,Grass,Grass,Grass,Grass,Grass
Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Grass,Grass,Grass,Grass,Grass,Grass
Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water
Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
